Sort Name,Array Size,Time Taken,CPU Usage,Number of Threads Used
Selection Sort,250000,16221017,12.4767,2
Selection Sort,250000,4916965,24.2308,4
Selection Sort,250000,1418071,47.1054,8
Bubble Sort,500000,643933384,6.25,1
Bubble Sort,500000,169591225,12.495,2
Bubble Sort,500000,53664409,24.3179,4
Bubble Sort,500000,17645647,49.17,8
Merge Sort,500000,92884,6.25025,1
Merge Sort,500000,67677,10.0685,2
Merge Sort,500000,57063,12.3971,4
Merge Sort,500000,34263,21.2947,8
Radix Sort,500000,91603,6.25041,1
Radix Sort,500000,53615,9.28491,2
Radix Sort,500000,44031,13.2435,4
Radix Sort,500000,41677,13.6028,8
Insertion Sort,500000,132461502,6.24921,1
Insertion Sort,500000,39711919,12.2695,2
Insertion Sort,500000,11919196,22.8685,4
Insertion Sort,500000,4096356,46.7272,8
Quick Sort,500000,85728,6.25038,1
Quick Sort,500000,60779,10.8543,2
Quick Sort,500000,44433,16.525,4
Quick Sort,500000,43418,13.4713,8
Selection Sort,500000,246768848,6.24997,1
Selection Sort,500000,68894395,12.4938,2
Selection Sort,500000,22007131,24.607,4
Selection Sort,500000,7095615,48.9237,8
Bubble Sort,750000,1413553010,6.24999,1
Bubble Sort,750000,382088724,12.4972,2
Bubble Sort,750000,119320743,24.9135,4
Bubble Sort,750000,39755342,49.2867,8
Merge Sort,750000,142566,6.2498,1
Merge Sort,750000,87015,10.6925,2
Merge Sort,750000,64805,17.5715,4
Merge Sort,750000,60565,19.8632,8
Radix Sort,750000,109026,6.25034,1
Radix Sort,750000,65459,9.76803,2
Radix Sort,750000,62196,15.2462,4
Radix Sort,750000,51045,16.8402,8
Insertion Sort,750000,309470518,6.25,1
Insertion Sort,750000,84166766,12.3034,2
Insertion Sort,750000,27939993,23.5107,4
Insertion Sort,750000,9560338,46.8011,8
Quick Sort,750000,126815,6.25029,1
Quick Sort,750000,77045,10.789,2
Quick Sort,750000,68932,16.0579,4
Quick Sort,750000,64785,17.7712,8
Selection Sort,750000,557610927,6.25,1
Selection Sort,750000,152030443,12.4933,2
Selection Sort,750000,49489241,24.1005,4
Selection Sort,750000,15935842,49.0258,8
Bubble Sort,1000000,2519088260,6.25,1
Bubble Sort,1000000,675974120,12.4975,2
Bubble Sort,1000000,216335205,24.8121,4
Bubble Sort,1000000,70924117,49.5222,8
Merge Sort,1000000,193213,6.24982,1
Merge Sort,1000000,111483,10.6988,2
Merge Sort,1000000,86312,17.7344,4
Merge Sort,1000000,67551,27.1642,8
Radix Sort,1000000,140593,6.25025,1
